thea,thea
anbetracht,considering
lesbisch,lesbian
cristina,Cristina
platziert,placed
abgrund,abyss
zeichnungen,drawings
sinken,sink
hamburg,Hamburg
trauern,mourn
abreise,departure
dates,dates
bette,beds
klemmt,is stuck
ansehe,look
lin,lin
passend,appropriate
sidney,sidney
mittagspause,lunch break
wettkampf,competition
verschluckt,swallowed
limo,limo
erhebt,raises
beneide,envy
beschwerde,complaint
erregen,excite
überwältigt,overwhelmed
turtle,turtle
nypd,nypd
benannt,named
begrüßt,welcomed
trommeln,drums
burns,burns
hayes,hayes
fortsetzen,continue
geplatzt,burst
pan,pan
mildred,mildred
erschieße,shoot
locke,locke
nachnamen,last name
anpassen,adjust
altmodisch,old-fashioned
teurer,more expensive
feuerzeug,lighter
trau,trust
serienmörder,serial killer
georges,Georges
dr,dr
durchgegangen,went through
beseitigt,eliminated
alkoholiker,alcoholic
laßt,let
ganzem,whole
elemente,elements
feinden,enemies
rückweg,way back
amelia,Amelia
abigail,Abigail
heimweg,way home
menschlichkeit,humanity
signora,signora
geheimnisvolle,mysterious
mcgee,mcgee
befolgt,followed
abreisen,leave
premiere,premiere
schwingen,swing
initiative,initiative
from,from
felicity,felicity
sexuellen,sexual
geschäftsführer,Managing Director
telefone,telephones
peterson,Peterson
strafzettel,parking ticket
gelobt,praised
uniformen,uniforms
beschissener,shitty
pulver,powder
welpen,puppies
angesprochen,addressed
kung,kung
angenehme,pleasant
kostüme,costumes
nachmittags,afternoon
lebewohl,goodbye
reporterin,reporter
crystal,crystal
nikita,Nikita
vorwand,pretext
genervt,annoyed
kreditkarten,credit cards
durstig,thirsty
eintreffen,arrive
nationalen,national
mitteln,means
trauma,trauma
beobachtung,observation
aufhält,stops
dergleichen,such
erwacht,awakens
schlaft,sleep
lebenslauf,CV
anrufbeantworter,answering machine
feiner,finer
verschoben,delay
zumachen,close
relativ,relative
wes,wes
rücksicht,consideration
lamm,lamb
pier,pier
widersprechen,contradict
erwische,catch
dachboden,attic
bradley,Bradley
keinesfalls,absolutely not
duck,duck
bislang,so far
retter,savior
transportieren,transport
anrief,called
aufpasst,pay attention
braune,tan
spontan,spontaneous
prächtig,magnificent
galactica,galactica
verreist,traveled
jahrhunderten,centuries
pullover,sweater
ansprechen,address
frischer,fresh
queens,queens
moon,moon
spitzel,spy
schnellste,fastest
bemühungen,efforts
dreckiger,dirty
büros,offices
unfälle,accidents
beamte,officer
angeschlossen,connected
unterschiedliche,different
kluger,clever
stürmen,storm
jedi,Jedi
begreife,understand
fersen,heels
vorbereitungen,preparations
fortfahren,continue
produzent,producer
zwischenfall,incident
zurückgezogen,withdrawn
autsch,Ouch
ivy,ivy
riesiger,huge
vorhänge,curtains
pflege,care
rauslassen,let out
kermit,Kermit
golden,golden
nachforschungen,investigations
erfahre,learn
kanzler,chancellor
jin,jin
stößt,encounters
austin,Austin
sahne,cream
binde,bind
zwiebeln,onions
schlitten,sleds
jahrhunderte,centuries
talente,talents
läßt,lets
rennst,run
kay,Kay
erbarmen,mercy
verkünden,announce
vorgestern,the day before yesterday
betreiben,operate
starsky,starsky
mindeste,least
mimi,Mimi
andrews,andrews
singst,sing
einsätze,missions
nötigen,necessary
egon,Egon
bemerkenswert,remarkable
warmes,warm
dinosaurier,dinosaur
wahrscheinlichkeit,probability
worin,wherein
rabbi,rabbi
nachfrage,demand
unwohl,unwell
pony,pony
materie,matter
verpisst,pissed off
leuchtet,shines
wehtut,hurts
unterwelt,underworld
irrt,is wrong
prüfungen,exams
vertrieben,distributed
haustür,front door
neuigkeit,news
gereicht,served
weigert,refuses
semester,semester
unternommen,undertaken
gespart,saved
geerbt,inherited
starbuck,Starbucks
glanz,shine
fähre,ferry
betäubt,numb
arrogant,arrogant
ausgeliefert,delivered
gästen,guests
holland,Holland
zuzusehen,to watch
fotograf,photographer
eigentümer,owner
hinkriegen,manage it
speed,speed
realistisch,realistic
vaughn,vaughn
kindergarten,kindergarten
riesiges,huge
pub,pub
bedrückt,depressed
streitet,argues
deckt,covers
kassette,cassette
mack,mack
arrow,arrow
vergebe,forgive
said,said
fish,fish
kandidat,candidate
klempner,plumber
blaues,blue
ängste,fears
litt,litt
verliebte,in love
befahl,commanded
spaghetti,spaghetti
franzose,Frenchman
dunkler,darker
zukünftigen,future
anzubieten,to offer
gesendet,sent
tobias,Tobias
schlauch,hose
einstein,Einstein
gelähmt,paralyzed
grillen,grilling
landschaft,landscape
funktion,function
anonym,anonymous
albträume,nightmares
träum,dream
facebook,Facebook
mh,mh
veranstaltung,event
mount,mount
verpflichtungen,obligations
sinclair,sinclair
rue,rue
schülerin,student
innerlich,internally
künstlerin,artist
madrid,Madrid
schöpfer,Creator
regiert,governs
aufschreiben,write down
erleichterung,relief
ava,ava
auktion,auction
regal,shelf
fakt,fact
christi,Christ
niveau,level
fahndung,wanted
friede,peace
erlitten,suffered
mathematik,mathematics
nasa,NASA
bittest,please
psycho,psycho
matratze,mattress
tretet,step
mordwaffe,murder weapon
finanzielle,financial
bänder,ribbons
detectives,detectives
wieviele,how many
undercover,undercover
herzustellen,to produce
arbeitgeber,employer
werkzeuge,tools
frankenstein,Frankenstein
beruhigungsmittel,sedatives
ingrid,Ingrid
coulson,Coulson
trugen,wore
kurzfristig,short term
spannungsvolle,suspenseful
clayton,clayton
kämpften,fought
erlangen,obtain
weltall,space
nanu,nanu
vertuschen,cover up
weckt,awakens
gewagt,daring
nieren,kidneys
zinsen,interest charges
hutch,hutch
einpacken,pack
monty,monty
ballon,balloon
verflixt,darn it
herkam,came from
rudel,pack
gregory,Gregory
horizont,horizon
sofia,Sofia
durften,were allowed
zusätzlich,additionally
dekan,dean
verträge,contracts
umzug,move
brady,Brady
sängerin,singer
wäldern,forests
darstellen,represent
limousine,limousine
fracht,freight
zurückzukommen,to return
morty,Morty
gedenken,commemorate
aufgeschrieben,written down
handlungen,actions
struktur,structure
kerker,dungeon
aufzupassen,to pay attention
hüten,guard
christ,Christian
unverschämt,outrageous
durchschaut,seen through
mögt,like
nachname,last name
händchen,little hands
calvin,Calvin
birne,pear
vorgesehen,planned
gnädig,mercifully
nachgesehen,checked
predigt,sermon
versehentlich,inadvertently
schwerter,swords
erwiesen,proven
software,software
einschlagen,hit
schiebt,pushes
geahnt,suspected
tätig,employed
abgestürzt,crashed
eingriff,intervention
politisch,politically
gewöhnliche,ordinary
stärkste,strongest
zuflucht,refuge
generator,generator
union,union
raven,raven
ungeduldig,impatient
unklar,unclear
suspendiert,suspended
arbeitsplatz,workplace
treppen,stairs
matty,matty
vereinen,unite
bruch,break
metern,meters
fällst,fall
unruhig,restless
schlechteste,worst
platzt,bursts
plastik,plastic
abgerissen,demolished
halber,half
anvertraut,entrusted
leder,leather
ausser,except
verfehlt,missed
verehrte,revered
schmutz,dirt
aufzuspüren,to track down
stühle,chairs
rausbringen,release
komitee,committee
mamas,moms
klarkommen,cope
propheten,prophets
durchsage,announcement
flora,flora
stiefvater,stepfather
grimm,Grimm
lolle,lolle
faith,faith
auftreiben,find
ernie,Ernie
nationen,nations
ausgaben,expenditure
secret,secret
käpt,captain
rauskriegen,find out
entstand,arose
alarmstufe,alert level
übersetzen,translate
griechenland,Greece
rüstung,armor
attentäter,assassin
tauben,pigeons
gewohnheit,habit
mieses,lousy
kindermädchen,nanny
brenda,Brenda
nervst,annoying
japanische,Japanese
bitch,bitch
nsa,NSA
werner,Werner
beinhaltet,contains
donuts,donuts
abgefeuert,fired
luther,Luther
davonkommen,escape
godzilla,godzilla
hinzufügen,add
dreier,three
werwolf,werewolf
denver,Denver
hebe,lift
ehrgeiz,ambition
aufenthaltsort,abode
hinreißend,delightful
gruß,greeting
borgia,Borgia
howie,howie
mckay,McKay
dj,dj
nu,nu
zeichnung,drawing
geige,violin
fortsetzung,continuation
kotzt,vomit
glückstag,lucky day
japanisch,Japanese
archiv,archive
einholen,obtain
bush,bush
raushalten,stay out
verheimlicht,concealed
hacker,hacker
hingabe,devotion
uhren,watches
cyril,Cyril
erobert,conquered
bandit,bandit
linien,lines
umzugehen,to deal with
roberto,Roberto
vornamen,first names
tessa,Tessa
nerv,nerve
berührung,contact
ergreift,seizes
sattel,saddle
gelangweilt,bored
intakt,intact
isabella,Isabella
poesie,poetry
pflegen,maintain
belastet,charged
reinlassen,let in
yen,yen
geprügelt,beaten
perspektive,perspective
schreist,scream
sperma,semen
hingelegt,laid down
wildes,wild
begreifst,understand
marcie,Marcie
ii,ii
metropolis,metropolis
schildkröte,tortoise
umzingelt,surrounded
buddha,Buddha
bonus,bonus
wagst,dare
spucken,spit
einlassen,let
günstig,cheap
yu,yu
lebenslänglich,life sentence
sloane,sloane
präzise,precise
bilde,form
sorgerecht,custody
blinde,blind
gebot,bid
p,p
zurückzahlen,pay it back
ameisen,ants
verleihen,lend
bearbeitet,edited
riker,riker
deckel,lid
theresa,Theresa
pentagon,Pentagon
frechheit,outrageous!
sinkt,sinks
gastfreundschaft,hospitality
enthalten,contain
schwamm,sponge
glückliches,happy
sperrt,locks
cliff,cliff
healey,healey
container,container
aufsetzen,put on
erhielten,received
ermöglicht,enables
erstellen,create
cesare,Cesare
rausgeschmissen,kicked out
vorgefallen,happened
herbringen,bring here
freiwillige,voluntary
korrigieren,correct
leichnam,body
negative,negative
never,never
schwebt,floats
vorsichtiger,more cautious
pilze,mushrooms
kürzer,shorter
bezahl,paid
behältst,retain
erfüllung,fulfillment
verbündeten,allies
achtet,pay attention
meiden,avoid
ansichten,views
isoliert,isolated
ausschlag,rash
fünfzehn,fifteen
aufruhr,revolt
felder,fields
make,make
gesunde,healthy
toiletten,toilets
schwierigen,difficult
crawford,Crawford
quittung,receipt
portal,portal
gesetzes,law
großeltern,grandparents
mo,mo
investition,investment
raj,raj
schweiß,welding
selbstvertrauen,self-confidence
geschluckt,swallowed
sendet,send
aufgehängt,hung up
susie,susie
taschenlampe,flashlight
saint,saint
justiz,justice
jägerin,huntress
heer,army
neapel,Naples
illegalen,illegal
schuft,scoundrel
k.o.,knockout
rückt,moves
drohte,threatened
scheiss,shit
zurückkehrt,returns
verlangst,demand
zünden,ignite
ärgert,annoys
großteil,most
instrument,instrument
codes,codes
herzogin,duchess
bumsen,fuck
aktivität,activity
entwickelte,developed
ronald,Ronald
gegenmittel,antidote
reiches,rich
sheridan,Sheridan
taktik,tactics
studien,studies
dramatisch,dramatic
potenzial,potential
anpassung,adjustment
jugendliche,youth
ass,ass
zerstörte,destroyed
clowns,clowns
professionelle,professional
verlorenen,lost
gelingen,succeed
militärische,military
atlanta,Atlanta
richards,Richards
ausgenutzt,exploited
maestro,maestro
brooks,brooks
freies,free
cheryl,Cheryl
gier,greed
insbesondere,in particular
überzeugung,conviction
angemeldet,logged in
winzige,tiny
vorstellungen,ideas
massaker,massacre
gail,gail
ausdenken,to invent
auspacken,unpacking
heizung,heating
haley,haley
magnus,magnus
mußte,had to
erzähler,teller
kolonie,colony
gps,GPS
girls,girls
gerichtssaal,courtroom
donnerwetter,thunder!
studentin,student
greta,Greta
tickt,ticks
räumt,clears
boom,boom
miriam,Miriam
gesichtet,sighted
kleben,stick
zuzuhören,to listen
ritt,ride
bauten,built
abgeschaltet,switched off
atlantic,Atlantic
marquis,marquis
teich,pond
raubüberfall,robbery
duell,duel
keuchen,panting
chirurgen,surgeons
señorita,señorita
wange,cheek
auszuschalten,to turn off
wiedergutmachen,make amends
k.,k.
vorbereitung,preparation
geile,awesome
kranker,sick
festplatte,hard drive
stoß,shock
stieß,encountered
eingreifen,intervention
portland,Portland
enorm,enormous
aufsuchen,visit
verzichte,do without
sichtbar,visible
pässe,passports
vorschrift,regulation
gehör,belong
jedermann,anyone
genieß,enjoy
irgendjemanden,anyone
ups,Oops
substanz,substance
amsterdam,Amsterdam
arbeitszimmer,study
notwehr,self-defense
patrouille,patrol
gewitter,thunderstorm
dax,DAX
zeigten,showed
klappern,rattle
schmetterling,butterfly
sarge,coffin
preston,Preston
förmlich,formally
celia,Celia
tammy,Tammy
enger,narrower
piep,beep
ausgetauscht,exchanged
baustelle,construction site
bewirkt,causes
brennan,Brennan
pratt,Pratt
gerochen,smelled
meintest,you meant
wusstet,knew
broadway,Broadway
drehst,turn
martini,Martini
starrt,stares
austauschen,exchange
janice,Janice
schnellen,fast
beerdigt,buried
sozialen,social
angerührt,stirred
say,say
verläuft,goes
abschlussball,prom
medaille,medal
vielmehr,rather
anschluss,connection
anzünden,light
wunderschöner,beautiful
naht,seam
handtücher,towels
basierend,based
perfekter,perfect
ungewöhnliche,unusual
international,international
mistkerle,bastards
vizepräsident,vice president
brichst,break
abgelegt,filed
halluzinationen,hallucinations
festnahme,arrest
steph,steph
pirat,pirate
umwelt,environment
axel,Axel
butch,butch
teilweise,partially
verfickte,fucking
dat,that
bearbeiten,edit
fetter,fat
natürlichen,natural
ausgestellt,exhibited
wendet,turns
gewöhnlicher,ordinary
lavon,lavon
springe,jump
gingst,went
änderungen,changes
orbit,orbit
kapsel,capsule
unbewaffnet,unarmed
internat,boarding school
zeile,line
mühle,mill
zeitalter,age
gabst,gave
neger,negr
prediger,preacher
schwache,weakness
minen,mines
paulie,Paulie
geheimes,secret
sessel,armchair
wegbringen,take away
shepherd,shepherd
weiterhelfen,help
verpflichtung,engagement
baten,asked
geparkt,parked
gerichtsmediziner,forensic pathologist
anita,Anita
zurückkommst,come back
bluse,blouse
reines,pure
gegenleistung,consideration
jaffa,Jaffa
gemeinsames,joint
japanischen,Japanese
kehre,return
helfer,helper
aufstieg,ascent
entkommt,escapes
partie,party
lächle,smile
verdeckt,hidden
abfall,waste
hauptrolle,main role
lilly,Lilly
tarzan,Tarzan
klingel,bell
jens,Jens
flirten,flirt
spanier,Spaniard
taxifahrer,taxi driver
länge,length
träumst,dreaming
tausenden,thousands
blockieren,block
darcy,Darcy
ausschließen,exclude
kiki,kiki
wechselt,changes
erforschen,explore
scanner,scanner
eisenbahn,railroad
rumsitzen,sitting around
munter,lively
zugesehen,watched
karma,karma
tristan,Tristan
stückchen,pieces
provinz,province
mitgemacht,participated
yvonne,Yvonne
pärchen,couple
kritisch,critical
peters,Peters
suzanne,Suzanne
gesunden,healthy
finanziert,financed
elektrizität,electricity
busen,bosom
erlebnis,experience
mccoy,McCoy
vaterland,fatherland
bitter,bitter
schleier,veil
notarzt,emergency doctor
stattfindet,takes
hervorragende,excellent
krimineller,criminal
durchatmen,breathe
stopfen,plug
übergabe,handover
monatelang,for months
beeile,hurry
harley,Harley
unterschreibe,sign
effekt,effect
einlegen,insert
verwirrung,confusion
überschritten,exceeded
where,where
instrumente,instruments
mailand,Milan
belassen,leave
latein,Latin
caine,Caine
großartiges,great
billie,billie
grundlage,basis
reihenfolge,sequence
körperliche,physical
würmer,worms
arena,arena
mexico,Mexico
hong,Hong
ballett,ballet
luder,slut
gerald,Gerald
werke,factories
bullshit,bullshit
mae,mae
verfolgung,persecution
lizzie,Lizzie
männlichen,male
exemplar,copy
bedauerlich,regrettable
blinden,blind
jage,hunt
cd,CD
honey,honey
finanzieren,finance
anstalt,institution
vorbeischauen,stop by
v.,v.
pakt,pact
damm,dam
laser,laser
gustav,Gustav
einsamen,lonely
derart,such
unteren,lower
versammeln,gather
behörde,authority
info,info
beckett,beckett
gedeckt,covered
köter,dog
positionen,positions
vertrete,represent
kirby,Kirby
vergewaltigen,rape
chemikalien,chemicals
verwechseln,confuse with
helle,bright
vergrößern,enlarge
anhaben,wear
tuvok,tuvok
angepisst,pissed off
ida,Ida
mississippi,Mississippi
unterschlupf,shelter
hemden,shirts
besen,broom
herkomme,where I come from
ließe,let
jazz,jazz
eilt,urgent
candy,candy
vorwerfen,accuse
plans,plans
il,il
abzuhalten,to prevent
odo,odo
tugend,virtue
fürsten,princes
neuanfang,new beginning
drängt,urges
verweigern,refuse
töne,tones
patricia,Patricia
maureen,Moors
staates,state
anordnung,arrangement
orchester,orchestra
senf,mustard
qualen,torments
verwaltung,administration
übertreibst,I'm exaggerating
anonymen,anonymous
galt,was
ver,ver
scherzen,joke
ausgeflippt,freaky
modern,modern
schwiegersohn,son-in-law
getränk,beverage
hörer,listener
finanzen,finances
bang,bang
colorado,Colorado
vernünftige,reasonable
verteidiger,defender
rupert,Rupert
verbirgt,hides
ähnliche,similar
bevorzugen,prefer
bea,bea
hindurch,through
eigentliche,actual
belästigung,harassment
seltene,rare
mysteriöse,mysterious
vorsitzende,chairperson
anzüge,suits
haue,hit
häh,Huh?
feuert,fires
vorausgesetzt,provided
profitieren,benefit
sabine,Sabine
kaltes,cold
eingedrungen,penetrated
huch,Oops
creek,creek
vorläufig,provisional
canyon,canyon
adern,veins
mordkommission,homicide squad
schnattert,chatters
baxter,baxter
piepsen,beep
benutz,use
chelsea,Chelsea
dämliche,stupid
erkältung,a cold
belohnt,reward
grinsen,grin
bund,federal
gestochen,stung
katharina,Katharina
moms,moms
provozieren,provoke
geschmeichelt,flattered
anrichten,arrange
letztlich,ultimately
gehirnerschütterung,concussion
lehnen,lean
geknackt,cracked
partnerschaft,partnership
eingeschaltet,turned on
whitney,Whitney
skye,skye
gestohlenen,stolen
aufhörst,you stop
tagelang,for days
oswald,Oswald
scofield,Scofield
unterscheidet,differs
begleiter,companion
margot,Margot
ober,upper
tödlichen,deadly
apokalypse,Apocalypse
k.i.t.t.,putty.
much,much
knabe,boy
montgomery,Montgomery
eingebildet,conceited
berühmter,famous
reihen,rows
schwindler,swindler
verarschst,fooled
maß,measure
rechtsanwalt,lawyer
geritten,ridden
romantik,romance
net,net
räder,wheels
nanny,nanny
betsy,betsy
erklärungen,explanations
haushälterin,housekeeper
gütig,kind
privatdetektiv,private detective
rumhängen,hanging around
ansteckend,contagious
marcy,Marcy
anstoßen,to initiate
michaels,Michaels
gefüttert,fed
nackten,naked
nervig,annoying
neuem,new
sheppard,Sheppard
geistig,mental
niedergeschlagen,depressed
nicolas,Nicolas
herumlaufen,walk around
einmalige,unique
verstößt,violates
ähnelt,similar
morphium,morphine
tool,tool
bote,messenger
monitor,monitor
kooperation,cooperation
schwerkraft,gravity
abgewiesen,rejected
auserwählt,selected
bedacht,thoughtful
frucht,fruit
phaser,phaser
söldner,mercenary
taugt,is suitable
dalton,Dalton
objekte,objects
pulli,sweater
ärzten,doctors
kiefer,jaw
aufwecken,wake
angemacht,turned on
klugscheißer,know-it-all
zaubern,conjure
gabel,fork
engagieren,engage
funktionierte,worked
gross,large
schwächer,weaker
empfindest,feel
führ,lead
ernsthafte,serious
vermitteln,convey
einzusetzen,to use
andreas,andreas
hughes,hughes
jenen,those
nonnen,nuns
vorgehensweise,procedure
wat,wat
spender,donor
val,val
company,company
blauer,blue
rasiert,shaved
vergebt,forgive
mayday,Mayday
venus,Venus
verhafte,arrest
steigst,climb
identisch,identical
bange,anxious
bekämpft,fights
jep,yep
gastgeber,host
innenstadt,city ​​center
mitbewohnerin,flatmate
papas,dads
schwindelig,dizzy
dc,dc
ratschlag,advice
scham,shame
intensiv,intensive
amigo,amigo
louie,louie
defekt,defect
beziehen,relate
or,or
talentiert,talented
bridget,bridget
gretchen,Gretchen
angezeigt,displayed
schaufel,shovel
erschüttert,shaken
reingefallen,fell for it
vetter,cousin
braunen,tan
boys,boys
bestechen,bribe
rücksitz,rear seat
sicherzustellen,to ensure
verärgern,annoy
magier,magician
management,management
eröffnung,opening
grill,grill
schiffen,ships
passte,fit
deacon,deacon
chefs,chefs
verbinde,connect
würfel,dice
physik,physics
dosen,cans
grove,grove
champ,champ
möchtet,would you like
porno,porn
absoluter,absolute
stadion,stadium
abgeschossen,shot down
streben,strive
durchstehen,endure
beging,began
streik,strike
weiterfahren,continue
ramon,Ramon
tipps,tips
sweet,sweet
hinsehen,look
isabel,Isabel
starte,start
plätzchen,cookie
magazine,magazine
wanda,wanda
beruht,is
ragnar,Ragnar
korruption,corruption
wimmelt,teeming
hook,hook
lux,lux
abgestellt,parked
liefere,deliver
anschließend,afterward
grube,pit
mei,my
flieht,flees
schriftlich,in written form
kamerad,mate
irrelevant,irrelevant
ironisch,ironic
herab,down
friedrich,Friedrich
stier,bull
entschluss,decision
gescheitert,failed
begrüße,welcome
kitt,putty
desaster,disaster
wachsam,vigilant
startklar,ready
gutmachen,do well
log,log
luca,Luca
hypothek,mortgage
anhand,based
schlagzeilen,headlines
auslöser,trigger
gaius,Gaius
kündigung,termination
atlantis,Atlantis
entzug,withdrawal
server,server
adele,Adele
leibwächter,bodyguard
abzulenken,to distract
angeben,indicate
abknallen,shoot
schuldigen,guilty
thor,Thor
erschrocken,frightened
lehrte,taught
häschen,bunny
daily,daily
handschuh,glove
seide,silk
bewaffnete,armed
caesar,Caesar
sklavin,slave
leinwand,canvas
erzählten,told
geguckt,watched
georgie,georgie
stimmts,Right?
brendan,Brendan
leichten,light
phillips,Phillips
pistolen,pistols
verbringst,spend
scannen,scan
richmond,Richmond
klatschen,clap
städten,cities
ohrringe,earrings
präsentation,presentation
gotham,Gotham
häuschen,cottage
vermittlung,mediation
zahnbürste,toothbrush
feinen,fine
blei,lead
gönnen,treat
schlugen,struck
sprüche,sayings
erreichbar,reachable
scheißdreck,shit
kerlen,guys
zuverlässig,reliable
sasha,Sasha
aufprall,impact
stewart,Stewart
hochzeiten,weddings
aneinander,next to each other
vorwurf,accusation
gehörten,belonged
ausflippen,freak out
kehrte,returned
sonntags,Sunday
cyrus,Cyrus
garde,guard
sonde,probe
blutungen,bleeding
roosevelt,Roosevelt
flüchtlinge,refugees
unterhose,underwear
scotland,Scotland
instrumentalmusik,instrumental music
becca,Becca
heldin,heroine
geschmeckt,tasted
rod,rod
unterstütze,support
schluchzen,sob
säcke,bags
psychopath,psychopath
madonna,Madonna
bezeugen,witness
massage,massage
geschmissen,thrown
pudding,pudding
einzuladen,to invite
meldete,reported
ecken,corners
bedrohen,threaten
lulu,lulu
lichtjahre,light years
line,line
schweig,silence
zwecklos,pointless
teilnehmer,participant
charley,Charley
langeweile,boredom
offiziellen,official
rudi,Rudi
verzeihe,forgive
hässlichen,ugly
gewidmet,dedicated
tabak,tobacco
ernannt,appointed
übler,worse
sandwiches,sandwiches
adoptieren,adopt
geistern,ghosts
sheriffs,sheriffs
vorgesetzter,superior
kodex,code
südamerika,South America
kostete,cost
verführt,seduced
schonen,protect
pauline,Pauline
machtlos,powerless
einsehen,view
mythos,myth
verantworten,to be responsible
ausschließlich,exclusively
ahh,ahh
pamela,Pamela
geschäften,shops
zurückbekommen,get back
anrufst,call
marihuana,marijuana
mithalten,keep up
lebenszeichen,Signs of life
woody,woody
anmachen,turn on
sklaverei,slavery
haustier,pet
inseln,islands
ohh,ohh
stützpunkt,base
trennt,separates
gesichtsausdruck,facial expression
andré,André
gesunken,sun
fernbedienung,remote control
verstärkt,reinforced
fã,fa
markus,Markus
element,element
sterling,sterling
olga,Olga
verlegenheit,embarrassment
metro,metro
bruderschaft,brotherhood
probiere,try
wiederum,again
bereitschaft,readiness
chet,chet
börse,stock exchange
aufsatz,essay
untergrund,underground
versiegelt,sealed
gegenstände,objects
gebildet,educated
rast,rest
regiment,regiment
kostenlos,for free
ausschuss,committee
dvd,DVD
gesprengt,blown up
ausweise,ID cards
allan,allan
feindliche,hostile
irina,Irina
feldwebel,sergeant
zerbricht,breaks
lenkt,steers
durchdrehen,go crazy
ausgelassen,omitted
kramer,chandler
tango,tango
respektlos,disrespectful
stripperin,stripper
hengst,stallion
schwanzlutscher,cock sucker
löse,solve
banane,banana
bloss,just
gavin,Gavin
skinner,skinner
schurken,villains
wäscht,washes
daraufhin,thereupon
nico,Nico
walsh,Walsh
geschäftspartner,business partner
weggefahren,drove away
psychologie,psychology
zwing,compulsion
verständigen,communicate
belastung,burden
bender,bender
bindung,binding
sherman,Sherman
umarmt,embraced
entkam,escaped
gespenst,spook
konntet,could
menschenleben,human lives
wurdet,were
öde,boring
ursprung,origin
geputzt,cleaned
sektion,section
schleppen,tow
erfassen,capture
terrasse,terrace
wilhelm,Wilhelm
unbesorgt,carefree
warteten,wait
eingereicht,submitted
sekretär,secretary
turk,Turk
beruhigend,reassuring
angezündet,lit
verbrechens,crime
impuls,pulse
voreilig,premature
peitsche,whip
griechen,Greeks
bennet,bennet
installiert,installed
verlier,lose
rebellion,rebellion
karin,Karin
seemann,sailor
bones,bones
aufgeräumt,tidied up
verdiente,earned
elender,wretched
sound,sound
absturz,crash
begleichen,settle
orgasmus,orgasm
toto,toto
vögelchen,little birds
reinkommt,comes in
renee,renee
benachrichtigen,notify
kavallerie,cavalry
allerseits,all
übe,practice
constable,constable
weigern,refuse
wirklichen,real
aufträge,orders
beifall,applause
cents,cents
angehörigen,relatives
damien,Damien
resultat,result
global,global
pennsylvania,Pennsylvania
warmen,warm
danielle,Danielle
verbiete,forbid
entschuldigst,excuse me
wahlen,choose
aufziehen,wind up
weitem,far
verdreht,twisted
powers,powers
vorschuss,advance
bananen,bananas
dex,dex
schuf,created
beschützer,protector
fuer,for
wahrlich,truly
hüften,hips
q,q
betrag,amount
hysterisch,hysterical
schwor,swore
schlägerei,brawl
flogen,flew
bösewicht,villain
aufwachsen,grow up
römischen,Roman
carolina,Carolina
auszeichnung,award
riskiere,risk
florence,Florence
ermöglichen,make possible
komiker,comedian
auffallen,stand out
eingegangen,received
kondom,condom
besserung,improvement
vinnie,vinnie
karton,cardboard
verspätet,delayed
obhut,care
aufführung,performance
fraß,ate
abfahrt,departure
hydra,Hydra
briefkasten,mailbox
häftling,prisoner
ezra,Ezra
kat,cat
unterschätzen,underestimate
sisko,sisko
hausfrau,housewife
hannes,Hannes
errichten,erect
stapel,stack
reparatur,repair
pike,pike
reste,leftovers
übereinstimmung,accordance
entwurf,draft
shoppen,shopping
anliegen,issue
täuschung,illusion
doll,doll
eliminieren,eliminate
verstärken,strengthen
insassen,inmates
mithilfe,using
packung,pack
u.s.,U.S.
adressen,addresses
kang,kang
themen,topics
aufteilen,divide
unberechenbar,unpredictable
eingeschlagen,hit
verklagt,sued
drohne,drone
vage,vague
hindernis,obstacle
izzy,izzy
qualifiziert,qualified
solo,solo
gierig,greedy
schreck,scare
verrotten,rot
integrität,integrity
hinterkopf,back of head
wundervollen,wonderful
lo,lo
lob,praise
verwirren,confuse
allgemeinen,general
frustriert,frustrated
ohnmacht,fainting
autoschlüssel,car key
erfährst,you will learn
image,image
grady,grady
people,people
unheilvolle,ominous
kapieren,understand
zigarren,cigars
josé,José
joint,joint
nachgehen,pursue
gedrängt,urged
soziale,social
diente,served
vieler,many
wissenschaftliche,scientific
dastehen,stand there
inmitten,in the midst of
millie,millie
brannte,burned
mengen,quantities
ausnahmsweise,exceptionally
silvester,New Year's Eve
berufen,appointed
schließfach,locker
bunny,bunny
kenneth,Kenneth
tische,tables
wasche,wash
vase,vase
einhalten,retain
halfen,helped
übernahm,took over
millionär,millionaire
dreißig,thirty
bernadette,Bernadette
denjenigen,those
begeisterung,enthusiasm
forscher,researchers
begabt,gifted
design,design
matthews,Matthews
taufe,baptism
entscheidend,decisive
zurückhaben,have back
katrina,Katrina
nervensäge,annoying person
betritt,enters
rodrigo,Rodrigo
kuckuck,cuckoo
veränderte,changed
vollbracht,accomplished
jeweils,respectively
passende,suitable
unabhängigkeit,independence
türe,door
einbrechen,break in
folgst,follow
lücke,gap
jüngeren,younger
immobilien,property
industries,industries
schwangere,pregnant
unfug,mischief
weibchen,female
ergriffen,seized
jahrestag,anniversary
oleson,oleson
fry,Fry
exzellent,excellent
strahlen,radiate
vorgenommen,performed
aufgezeichnet,recorded
business,business
depression,depression
privates,private
streiche,paint
alaska,Alaska
frances,Frances
wänden,walls
erwecken,awaken
sawyer,sawyer
männchen,male
senken,reduce
otis,otis
spanische,Spanish
beamter,official
kommission,commission
fünfzig,fifty
gedemütigt,humiliated
gucke,look
mehrheit,majority
teuren,expensive
abreißen,tear down
